,Orig,OrigCode,Dest,DestCode,Total,WorksFromHome,Underground,Train,Bus,Taxi,CarDrive,CarPass,Motobike,Bicycle,Walk,Other,OrigCodeNew,DestCodeNew,Oi1_origpop,Oi2_origsal,Dj1_destpop,Dj2_destsal,TotalNoIntra,offset,Dist
447,Haringey,00AP,Islington,00AU,7948,0,2445,663,1708,32,2141,149,136,334,330,10,E09000014,E09000019,90000,19100,82000,18700,7948,0.0,4663.95252764092
448,Haringey,00AP,Kensington and Chelsea,00AW,1889,0,1344,76,109,0,260,20,31,33,16,0,E09000014,E09000020,90000,19100,75000,25900,1889,0.0,11529.864005070947
449,Haringey,00AP,Kingston upon Thames,00AX,67,0,24,22,0,0,18,0,3,0,0,0,E09000014,E09000021,90000,19100,77000,19500,67,0.0,25741.151480801138
450,Haringey,00AP,Lambeth,00AY,1236,0,830,76,77,3,178,9,19,35,6,3,E09000014,E09000022,90000,19100,119000,18200,1236,0.0,15208.194204071979
451,Haringey,00AP,Lewisham,00AZ,178,0,77,29,14,0,49,0,6,3,0,0,E09000014,E09000023,90000,19100,113000,18000,178,0.0,16925.705334936352
452,Haringey,00AP,Merton,00BA,136,0,81,17,6,0,26,3,0,3,0,0,E09000014,E09000024,90000,19100,96000,18500,136,0.0,21016.089249243458
453,Haringey,00AP,Newham,00BB,520,0,129,75,47,0,214,15,6,6,25,3,E09000014,E09000025,90000,19100,88000,15300,520,0.0,12288.123804916255
454,Haringey,00AP,Redbridge,00BC,278,0,37,16,44,0,158,7,5,8,3,0,E09000014,E09000026,90000,19100,118000,17200,278,0.0,12715.567134260675
455,Haringey,00AP,Richmond upon Thames,00BD,180,0,83,39,0,0,49,0,3,0,3,3,E09000014,E09000027,90000,19100,94000,23400,180,0.0,21723.58714322345
456,Haringey,00AP,Southwark,00BE,1857,0,1148,187,121,6,279,15,29,56,16,0,E09000014,E09000028,90000,19100,97000,16900,1857,0.0,13126.592216487139
457,Haringey,00AP,Sutton,00BF,48,0,10,21,0,0,17,0,0,0,0,0,E09000014,E09000029,90000,19100,98000,17600,48,0.0,25857.198270711364
458,Haringey,00AP,Tower Hamlets,00BG,2350,0,1029,321,173,6,624,43,53,90,11,0,E09000014,E09000030,90000,19100,76000,19100,2350,0.0,9717.776150327483
459,Haringey,00AP,Waltham Forest,00BH,1004,0,176,53,209,0,481,35,5,30,9,6,E09000014,E09000031,90000,19100,99000,16600,1004,0.0,6583.160461136205
460,Haringey,00AP,Wandsworth,00BJ,507,0,320,32,23,0,115,3,9,5,0,0,E09000014,E09000032,90000,19100,143000,21700,507,0.0,16336.299045072004
461,Haringey,00AP,Westminster,00BK,13479,0,10275,507,805,26,1150,98,215,328,52,23,E09000014,E09000033,90000,19100,95000,21900,13479,0.0,9313.55531580639
462,Harrow,00AQ,City of London,00AA,3162,0,2599,312,20,7,173,15,21,4,8,3,E09000015,E09000001,100000,19300,12000,38300,3162,0.0,19586.100824243782
463,Harrow,00AQ,Barking and Dagenham,00AB,55,0,6,0,0,0,40,9,0,0,0,0,E09000015,E09000002,100000,19300,56000,16200,55,0.0,33428.67513024828
464,Harrow,00AQ,Barnet,00AC,5008,0,234,78,753,14,3443,207,34,46,192,7,E09000015,E09000003,100000,19300,159000,18700,5008,0.0,9316.719287524062
465,Harrow,00AQ,Bexley,00AD,26,0,10,4,0,0,12,0,0,0,0,0,E09000015,E09000004,100000,19300,112000,18300,26,0.0,36848.11534926345
466,Harrow,00AQ,Brent,00AE,9473,0,985,429,992,30,5966,460,82,117,391,21,E09000015,E09000005,100000,19300,127000,16500,9473,0.0,6701.089592348297
467,Harrow,00AQ,Bromley,00AF,47,0,13,7,0,0,27,0,0,0,0,0,E09000015,E09000006,100000,19300,164000,19100,47,0.0,37078.92817040357
468,Harrow,00AQ,Camden,00AG,3675,0,2184,505,67,3,810,48,38,11,6,3,E09000015,E09000007,100000,19300,101000,19800,3675,0.0,13965.357755950814
469,Harrow,00AQ,Croydon,00AH,103,0,24,37,0,0,39,3,0,0,0,0,E09000015,E09000008,100000,19300,153000,18300,103,0.0,32228.164593458103
470,Harrow,00AQ,Ealing,00AJ,4542,0,504,169,376,13,3115,172,65,50,68,10,E09000015,E09000009,100000,19300,141000,17500,4542,0.0,8399.998687971052
471,Harrow,00AQ,Enfield,00AK,325,0,19,3,12,0,273,15,3,0,0,0,E09000015,E09000010,100000,19300,128000,17500,325,0.0,18559.10926455565
472,Harrow,00AQ,Greenwich,00AL,62,0,27,8,3,0,21,3,0,0,0,0,E09000015,E09000011,100000,19300,91000,18600,62,0.0,30756.343449396838
473,Harrow,00AQ,Hackney,00AM,430,0,210,53,14,3,134,10,3,3,0,0,E09000015,E09000012,100000,19300,72000,17700,430,0.0,19919.195435443897
474,Harrow,00AQ,Hammersmith and Fulham,00AN,1487,0,639,121,26,6,622,33,23,6,6,5,E09000015,E09000013,100000,19300,83000,21000,1487,0.0,14156.023908211391
475,Harrow,00AQ,Haringey,00AP,331,0,40,21,22,0,231,11,3,0,3,0,E09000015,E09000014,100000,19300,90000,19100,331,0.0,16219.66015690224
476,Harrow,00AQ,Harrow,00AQ,37328,9644,1616,657,3280,395,14518,1301,137,460,5136,184,E09000015,E09000015,100000,19300,100000,19300,0,1e-10,0.0
477,Harrow,00AQ,Havering,00AR,29,0,4,4,0,0,21,0,0,0,0,0,E09000015,E09000016,100000,19300,114000,17400,29,0.0,39120.67701236917
478,Harrow,00AQ,Hillingdon,00AS,6169,0,606,179,528,9,4306,226,61,64,177,13,E09000015,E09000017,100000,19300,113000,17600,6169,0.0,9566.059858481669
479,Harrow,00AQ,Hounslow,00AT,1141,0,197,49,32,6,809,24,12,6,3,3,E09000015,E09000018,100000,19300,101000,16500,1141,0.0,14477.398807203304
480,Harrow,00AQ,Islington,00AU,1395,0,848,165,7,3,332,17,17,3,0,3,E09000015,E09000019,100000,19300,82000,18700,1395,0.0,16924.981957449996
481,Harrow,00AQ,Kensington and Chelsea,00AW,1160,0,633,98,25,0,342,32,21,3,3,3,E09000015,E09000020,100000,19300,75000,25900,1160,0.0,14904.291106081771
482,Harrow,00AQ,Kingston upon Thames,00AX,107,0,17,16,0,0,65,6,3,0,0,0,E09000015,E09000021,100000,19300,77000,19500,107,0.0,23643.529076993447
483,Harrow,00AQ,Lambeth,00AY,501,0,301,50,7,0,124,3,9,7,0,0,E09000015,E09000022,100000,19300,119000,18200,501,0.0,22261.285639223726
484,Harrow,00AQ,Lewisham,00AZ,71,0,30,8,6,0,24,3,0,0,0,0,E09000015,E09000023,100000,19300,113000,18000,71,0.0,27794.11484746387
485,Harrow,00AQ,Merton,00BA,119,0,38,18,0,0,53,7,3,0,0,0,E09000015,E09000024,100000,19300,96000,18500,119,0.0,23156.96734970056
486,Harrow,00AQ,Newham,00BB,99,0,29,3,9,0,55,3,0,0,0,0,E09000015,E09000025,100000,19300,88000,15300,99,0.0,27421.690018922855
487,Harrow,00AQ,Redbridge,00BC,44,0,7,3,0,0,34,0,0,0,0,0,E09000015,E09000026,100000,19300,118000,17200,44,0.0,28934.718632393487
488,Harrow,00AQ,Richmond upon Thames,00BD,246,0,50,40,11,0,130,6,3,3,0,3,E09000015,E09000027,100000,19300,94000,23400,246,0.0,17355.10308092247
489,Harrow,00AQ,Southwark,00BE,854,0,612,62,12,3,137,9,7,6,3,3,E09000015,E09000028,100000,19300,97000,16900,854,0.0,23072.955933885256
490,Harrow,00AQ,Sutton,00BF,34,0,7,8,0,0,19,0,0,0,0,0,E09000015,E09000029,100000,19300,98000,17600,34,0.0,28571.092425703715
491,Harrow,00AQ,Tower Hamlets,00BG,1013,0,718,102,7,0,160,13,10,0,0,3,E09000015,E09000030,100000,19300,76000,19100,1013,0.0,23134.972389229097
492,Harrow,00AQ,Waltham Forest,00BH,95,0,18,4,3,0,60,4,0,0,6,0,E09000015,E09000031,100000,19300,99000,16600,95,0.0,22772.2388616174
493,Harrow,00AQ,Wandsworth,00BJ,300,0,110,44,10,0,117,6,7,3,0,3,E09000015,E09000032,100000,19300,143000,21700,300,0.0,19458.985968014036
494,Harrow,00AQ,Westminster,00BK,7882,0,5513,809,130,4,1178,112,91,22,14,9,E09000015,E09000033,100000,19300,95000,21900,7882,0.0,15655.602126851134
495,Havering,00AR,City of London,00AA,8348,0,1446,6275,51,9,411,36,97,11,6,6,E09000016,E09000001,114000,17400,12000,38300,8348,0.0,22370.148699517347
496,Havering,00AR,Barking and Dagenham,00AB,7278,0,366,266,701,18,5170,342,139,112,155,9,E09000016,E09000002,114000,17400,56000,16200,7278,0.0,6415.788868517203
497,Havering,00AR,Barnet,00AC,194,0,28,24,3,3,121,7,8,0,0,0,E09000016,E09000003,114000,17400,159000,18700,194,0.0,30403.225277829093
498,Havering,00AR,Bexley,00AD,325,0,0,13,31,0,214,22,6,11,28,0,E09000016,E09000004,114000,17400,112000,18300,325,0.0,12598.487428406563
499,Havering,00AR,Brent,00AE,156,0,29,26,0,0,89,9,3,0,0,0,E09000016,E09000005,114000,17400,127000,16500,156,0.0,33857.622181757746
500,Havering,00AR,Bromley,00AF,157,0,9,16,0,3,126,0,3,0,0,0,E09000016,E09000006,114000,17400,164000,19100,157,0.0,24284.702076470152
501,Havering,00AR,Camden,00AG,2001,0,601,1083,13,0,229,13,47,6,6,3,E09000016,E09000007,114000,17400,101000,19800,2001,0.0,26268.726922034202
502,Havering,00AR,Croydon,00AH,131,0,3,34,0,0,82,8,4,0,0,0,E09000016,E09000008,114000,17400,153000,18300,131,0.0,31483.77073089767
503,Havering,00AR,Ealing,00AJ,165,0,46,35,0,0,76,4,4,0,0,0,E09000016,E09000009,114000,17400,141000,17500,165,0.0,38517.5295193162
504,Havering,00AR,Enfield,00AK,546,0,4,45,3,0,458,20,13,3,0,0,E09000016,E09000010,114000,17400,128000,17500,546,0.0,23449.468938096998
505,Havering,00AR,Greenwich,00AL,260,0,15,26,6,0,188,13,6,3,3,0,E09000016,E09000011,114000,17400,91000,18600,260,0.0,15108.707350877103
506,Havering,00AR,Hackney,00AM,1302,0,155,518,17,9,529,28,46,0,0,0,E09000016,E09000012,114000,17400,72000,17700,1302,0.0,19712.980772314695
507,Havering,00AR,Hammersmith and Fulham,00AN,260,0,116,73,0,0,63,0,5,0,3,0,E09000016,E09000013,114000,17400,83000,21000,260,0.0,31537.431427311418
508,Havering,00AR,Haringey,00AP,335,0,15,45,6,0,241,13,12,0,3,0,E09000016,E09000014,114000,17400,90000,19100,335,0.0,22930.26586199251
509,Havering,00AR,Harrow,00AQ,69,0,12,14,0,0,40,3,0,0,0,0,E09000016,E09000015,114000,17400,100000,19300,69,0.0,39120.67701236917
510,Havering,00AR,Havering,00AR,47260,7500,698,1559,5382,861,21732,2367,340,638,6032,151,E09000016,E09000016,114000,17400,114000,17400,0,1e-10,0.0
511,Havering,00AR,Hillingdon,00AS,116,0,7,10,3,0,92,0,4,0,0,0,E09000016,E09000017,114000,17400,113000,17600,116,0.0,46256.224672219316
512,Havering,00AR,Hounslow,00AT,83,0,18,18,6,0,38,0,0,0,0,3,E09000016,E09000018,114000,17400,101000,16500,83,0.0,42051.242172596096
513,Havering,00AR,Islington,00AU,1932,0,325,1110,19,7,385,36,44,3,0,3,E09000016,E09000019,114000,17400,82000,18700,1932,0.0,22988.948125846673
514,Havering,00AR,Kensington and Chelsea,00AW,358,0,166,129,3,3,42,0,15,0,0,0,E09000016,E09000020,114000,17400,75000,25900,358,0.0,29446.4397880831
515,Havering,00AR,Kingston upon Thames,00AX,33,0,3,9,0,0,18,0,0,0,0,3,E09000016,E09000021,114000,17400,77000,19500,33,0.0,40274.4532192551
516,Havering,00AR,Lambeth,00AY,552,0,133,170,6,0,205,12,26,0,0,0,E09000016,E09000022,114000,17400,119000,18200,552,0.0,26471.11024757019
517,Havering,00AR,Lewisham,00AZ,137,0,18,17,0,0,93,6,3,0,0,0,E09000016,E09000023,114000,17400,113000,18000,137,0.0,21034.178341404346
518,Havering,00AR,Merton,00BA,85,0,23,29,0,0,25,8,0,0,0,0,E09000016,E09000024,114000,17400,96000,18500,85,0.0,33641.507470948345
519,Havering,00AR,Newham,00BB,3410,0,435,513,88,9,2112,142,81,16,6,8,E09000016,E09000025,114000,17400,88000,15300,3410,0.0,13310.135542846361
520,Havering,00AR,Redbridge,00BC,4844,0,94,425,477,14,3466,218,82,47,18,3,E09000016,E09000026,114000,17400,118000,17200,4844,0.0,10330.656203160366
521,Havering,00AR,Richmond upon Thames,00BD,45,0,8,14,0,0,17,3,0,0,3,0,E09000016,E09000027,114000,17400,94000,23400,45,0.0,39338.76771609939
522,Havering,00AR,Southwark,00BE,1389,0,290,676,12,0,334,32,39,0,0,6,E09000016,E09000028,114000,17400,97000,16900,1389,0.0,22704.04952026376
523,Havering,00AR,Sutton,00BF,50,0,0,11,0,0,30,3,0,3,3,0,E09000016,E09000029,114000,17400,98000,17600,50,0.0,35565.48996262757
524,Havering,00AR,Tower Hamlets,00BG,5030,0,1016,2093,38,6,1645,112,95,16,6,3,E09000016,E09000030,114000,17400,76000,19100,5030,0.0,18463.685285879816
525,Havering,00AR,Waltham Forest,00BH,1173,0,51,100,32,0,899,60,25,3,0,3,E09000016,E09000031,114000,17400,99000,16600,1173,0.0,16517.296643823123
526,Havering,00AR,Wandsworth,00BJ,158,0,29,32,0,0,87,4,6,0,0,0,E09000016,E09000032,114000,17400,143000,21700,158,0.0,30815.937122441668
527,Havering,00AR,Westminster,00BK,4699,0,1728,2316,41,6,443,45,97,10,4,9,E09000016,E09000033,114000,17400,95000,21900,4699,0.0,26994.87552947948
528,Hillingdon,00AS,City of London,00AA,1661,0,1287,163,5,3,158,11,25,3,3,3,E09000017,E09000001,113000,17600,12000,38300,1661,0.0,24692.7878108262
529,Hillingdon,00AS,Barking and Dagenham,00AB,31,0,0,0,0,0,28,0,0,0,3,0,E09000017,E09000002,113000,17600,56000,16200,31,0.0,40150.98229497889
530,Hillingdon,00AS,Barnet,00AC,692,0,41,7,32,0,561,22,26,3,0,0,E09000017,E09000003,113000,17600,159000,18700,692,0.0,18316.625503096664
531,Hillingdon,00AS,Bexley,00AD,18,0,3,6,0,0,9,0,0,0,0,0,E09000017,E09000004,113000,17600,112000,18300,18,0.0,41797.17666793675
532,Hillingdon,00AS,Brent,00AE,2672,0,317,106,104,4,1980,80,48,21,9,3,E09000017,E09000005,113000,17600,127000,16500,2672,0.0,12479.648684119291
533,Hillingdon,00AS,Bromley,00AF,55,0,13,3,3,0,33,0,3,0,0,0,E09000017,E09000006,113000,17600,164000,19100,55,0.0,39361.70040323878
534,Hillingdon,00AS,Camden,00AG,1757,0,1107,199,27,0,340,21,50,4,3,6,E09000017,E09000007,113000,17600,101000,19800,1757,0.0,20000.57725875343
535,Hillingdon,00AS,Croydon,00AH,116,0,18,19,4,0,72,0,0,0,3,0,E09000017,E09000008,113000,17600,153000,18300,116,0.0,32398.88155198543
536,Hillingdon,00AS,Ealing,00AJ,8185,0,422,286,1042,16,5739,341,113,130,83,13,E09000017,E09000009,113000,17600,141000,17500,8185,0.0,8229.588337490643
537,Hillingdon,00AS,Enfield,00AK,153,0,6,3,3,0,129,3,3,0,6,0,E09000017,E09000010,113000,17600,128000,17500,153,0.0,27658.119211289722
538,Hillingdon,00AS,Greenwich,00AL,49,0,12,6,3,0,28,0,0,0,0,0,E09000017,E09000011,113000,17600,91000,18600,49,0.0,35582.39420738873
539,Hillingdon,00AS,Hackney,00AM,205,0,106,20,3,0,68,0,8,0,0,0,E09000017,E09000012,113000,17600,72000,17700,205,0.0,26545.621796157484
540,Hillingdon,00AS,Hammersmith and Fulham,00AN,1799,0,647,119,48,0,865,52,43,19,6,0,E09000017,E09000013,113000,17600,83000,21000,1799,0.0,16440.508503010253
541,Hillingdon,00AS,Haringey,00AP,110,0,23,3,3,0,78,0,3,0,0,0,E09000017,E09000014,113000,17600,90000,19100,110,0.0,24068.658151210064
542,Hillingdon,00AS,Harrow,00AQ,4688,0,558,207,316,8,3175,168,47,75,131,3,E09000017,E09000015,113000,17600,100000,19300,4688,0.0,9566.059858481669
543,Hillingdon,00AS,Havering,00AR,21,0,3,0,3,0,15,0,0,0,0,0,E09000017,E09000016,113000,17600,114000,17400,21,0.0,46256.224672219316
544,Hillingdon,00AS,Hillingdon,00AS,64869,9624,1500,663,7049,426,32907,3068,578,1567,7240,247,E09000017,E09000017,113000,17600,113000,17600,0,1e-10,0.0
545,Hillingdon,00AS,Hounslow,00AT,5293,0,164,65,716,5,3936,206,86,56,50,9,E09000017,E09000018,113000,17600,101000,16500,5293,0.0,9815.625554667193
546,Hillingdon,00AS,Islington,00AU,664,0,395,67,0,0,175,6,18,0,0,3,E09000017,E09000019,113000,17600,82000,18700,664,0.0,23277.39705314093
547,Hillingdon,00AS,Kensington and Chelsea,00AW,925,0,422,101,21,4,322,18,31,3,0,3,E09000017,E09000020,113000,17600,75000,25900,925,0.0,18149.61382740634
548,Hillingdon,00AS,Kingston upon Thames,00AX,150,0,5,6,16,0,117,3,3,0,0,0,E09000017,E09000021,113000,17600,77000,19500,150,0.0,20334.600568636906
549,Hillingdon,00AS,Lambeth,00AY,401,0,156,43,11,0,160,8,16,4,3,0,E09000017,E09000022,113000,17600,119000,18200,401,0.0,24731.2776333108
550,Hillingdon,00AS,Lewisham,00AZ,79,0,10,3,14,0,41,8,0,3,0,0,E09000017,E09000023,113000,17600,113000,18000,79,0.0,31302.918919576703
551,Hillingdon,00AS,Merton,00BA,167,0,36,14,6,0,108,0,3,0,0,0,E09000017,E09000024,113000,17600,96000,18500,167,0.0,22623.18215855105
552,Hillingdon,00AS,Newham,00BB,83,0,28,0,9,3,40,0,3,0,0,0,E09000017,E09000025,113000,17600,88000,15300,83,0.0,33562.50229849876
553,Hillingdon,00AS,Redbridge,00BC,35,0,3,6,0,0,23,3,0,0,0,0,E09000017,E09000026,113000,17600,118000,17200,35,0.0,36491.0812410393
554,Hillingdon,00AS,Richmond upon Thames,00BD,548,0,35,27,46,0,406,22,5,4,3,0,E09000017,E09000027,113000,17600,94000,23400,548,0.0,14362.007988629999
555,Hillingdon,00AS,Southwark,00BE,511,0,268,70,9,0,141,10,13,0,0,0,E09000017,E09000028,113000,17600,97000,16900,511,0.0,26858.043929562613
556,Hillingdon,00AS,Sutton,00BF,58,0,4,3,5,0,43,3,0,0,0,0,E09000017,E09000029,113000,17600,98000,17600,58,0.0,27300.72998815835
557,Hillingdon,00AS,Tower Hamlets,00BG,565,0,368,55,9,0,112,6,9,3,3,0,E09000017,E09000030,113000,17600,76000,19100,565,0.0,28660.870253467943
558,Hillingdon,00AS,Waltham Forest,00BH,53,0,9,3,6,0,35,0,0,0,0,0,E09000017,E09000031,113000,17600,99000,16600,53,0.0,30582.934611404984
559,Hillingdon,00AS,Wandsworth,00BJ,248,0,56,27,9,0,137,7,6,3,3,0,E09000017,E09000032,113000,17600,143000,21700,248,0.0,20583.486071878564
560,Hillingdon,00AS,Westminster,00BK,5062,0,2924,878,151,7,895,66,107,13,10,11,E09000017,E09000033,113000,17600,95000,21900,5062,0.0,20033.13124996725
561,Hounslow,00AT,City of London,00AA,2342,0,1519,525,27,4,160,16,48,33,3,7,E09000018,E09000001,101000,16500,12000,38300,2342,0.0,19682.110705622257
562,Hounslow,00AT,Barking and Dagenham,00AB,19,0,6,0,3,0,10,0,0,0,0,0,E09000018,E09000002,101000,16500,56000,16200,19,0.0,35665.33446282274
563,Hounslow,00AT,Barnet,00AC,253,0,40,16,22,0,162,0,4,0,3,6,E09000018,E09000003,101000,16500,159000,18700,253,0.0,19661.935796831076
564,Hounslow,00AT,Bexley,00AD,27,0,3,6,0,0,15,0,0,0,3,0,E09000018,E09000004,101000,16500,112000,18300,27,0.0,35343.33155276207
565,Hounslow,00AT,Brent,00AE,807,0,115,54,58,0,534,13,13,14,6,0,E09000018,E09000005,101000,16500,127000,16500,807,0.0,12122.289275061106
566,Hounslow,00AT,Bromley,00AF,69,0,9,10,7,0,31,3,0,0,6,3,E09000018,E09000006,101000,16500,164000,19100,69,0.0,30971.572494351305
567,Hounslow,00AT,Camden,00AG,1753,0,923,407,25,6,287,18,34,36,6,11,E09000018,E09000007,101000,16500,101000,19800,1753,0.0,16883.618006426335
568,Hounslow,00AT,Croydon,00AH,215,0,23,100,6,0,74,6,0,0,6,0,E09000018,E09000008,101000,16500,153000,18300,215,0.0,23133.60900700191
569,Hounslow,00AT,Ealing,00AJ,5488,0,486,128,757,14,3331,214,81,151,320,6,E09000018,E09000009,101000,16500,141000,17500,5488,0.0,6481.137325310124
570,Hounslow,00AT,Enfield,00AK,92,0,20,8,0,0,55,3,0,0,6,0,E09000018,E09000010,101000,16500,128000,17500,92,0.0,28036.99377748292
571,Hounslow,00AT,Greenwich,00AL,106,0,8,17,13,0,51,6,0,3,8,0,E09000018,E09000011,101000,16500,91000,18600,106,0.0,29304.438095864913
572,Hounslow,00AT,Hackney,00AM,250,0,113,54,6,0,60,3,8,3,3,0,E09000018,E09000012,101000,16500,72000,17700,250,0.0,22994.168950502317
573,Hounslow,00AT,Hammersmith and Fulham,00AN,3587,0,875,140,638,13,1345,70,86,208,212,0,E09000018,E09000013,101000,16500,83000,21000,3587,0.0,10519.356854991538
574,Hounslow,00AT,Haringey,00AP,87,0,20,3,6,0,46,3,3,3,3,0,E09000018,E09000014,101000,16500,90000,19100,87,0.0,22493.57001435505
575,Hounslow,00AT,Harrow,00AQ,396,0,83,10,44,0,236,7,10,3,0,3,E09000018,E09000015,101000,16500,100000,19300,396,0.0,14477.398807203304
576,Hounslow,00AT,Havering,00AR,28,0,3,3,0,0,16,0,0,0,3,3,E09000018,E09000016,101000,16500,114000,17400,28,0.0,42051.242172596096
577,Hounslow,00AT,Hillingdon,00AS,12803,0,1399,228,2165,31,7870,516,185,224,155,30,E09000018,E09000017,101000,16500,113000,17600,12803,0.0,9815.625554667193
578,Hounslow,00AT,Hounslow,00AT,43221,8667,1272,758,4878,163,16813,1513,421,1655,6847,234,E09000018,E09000018,101000,16500,101000,16500,0,1e-10,0.0
579,Hounslow,00AT,Islington,00AU,752,0,366,142,34,3,166,0,19,19,3,0,E09000018,E09000019,101000,16500,82000,18700,752,0.0,19868.185234520388
580,Hounslow,00AT,Kensington and Chelsea,00AW,1800,0,896,81,173,0,486,30,39,75,20,0,E09000018,E09000020,101000,16500,75000,25900,1800,0.0,12616.956623212585
581,Hounslow,00AT,Kingston upon Thames,00AX,1006,0,22,48,286,6,563,37,25,16,0,3,E09000018,E09000021,101000,16500,77000,19500,1006,0.0,10524.106252556272
582,Hounslow,00AT,Lambeth,00AY,692,0,159,281,23,0,189,6,17,5,12,0,E09000018,E09000022,101000,16500,119000,18200,692,0.0,17299.787543646613
583,Hounslow,00AT,Lewisham,00AZ,128,0,23,17,20,0,53,6,3,3,3,0,E09000018,E09000023,101000,16500,113000,18000,128,0.0,24140.6763047818
584,Hounslow,00AT,Merton,00BA,303,0,40,63,8,0,177,6,6,0,3,0,E09000018,E09000024,101000,16500,96000,18500,303,0.0,13428.142532001519
585,Hounslow,00AT,Newham,00BB,100,0,20,8,8,0,49,3,0,3,9,0,E09000018,E09000025,101000,16500,88000,15300,100,0.0,28773.079020518686
586,Hounslow,00AT,Redbridge,00BC,31,0,14,3,6,0,8,0,0,0,0,0,E09000018,E09000026,101000,16500,118000,17200,31,0.0,33325.41726995931
587,Hounslow,00AT,Richmond upon Thames,00BD,7025,0,159,261,1730,15,3517,369,101,429,433,11,E09000018,E09000027,101000,16500,94000,23400,7025,0.0,4709.588058330383
588,Hounslow,00AT,Southwark,00BE,657,0,211,260,20,0,139,6,8,7,6,0,E09000018,E09000028,101000,16500,97000,16900,657,0.0,20303.224129099697
589,Hounslow,00AT,Sutton,00BF,101,0,8,16,4,0,67,0,0,0,6,0,E09000018,E09000029,101000,16500,98000,17600,101,0.0,17668.678974718518
590,Hounslow,00AT,Tower Hamlets,00BG,753,0,406,179,14,0,127,9,9,6,3,0,E09000018,E09000030,101000,16500,76000,19100,753,0.0,23612.204153928342
591,Hounslow,00AT,Waltham Forest,00BH,41,0,5,6,3,0,21,0,0,0,6,0,E09000018,E09000031,101000,16500,99000,16600,41,0.0,28223.541826102773
592,Hounslow,00AT,Wandsworth,00BJ,765,0,87,242,42,3,338,14,24,11,4,0,E09000018,E09000032,101000,16500,143000,21700,765,0.0,12640.30289570922
593,Hounslow,00AT,Westminster,00BK,5927,0,3333,992,282,24,930,75,137,113,35,6,E09000018,E09000033,101000,16500,95000,21900,5927,0.0,15133.992717368661
594,Islington,00AU,City of London,00AA,7931,0,2455,540,2179,257,340,67,148,371,1547,27,E09000019,E09000001,82000,18700,12000,38300,7931,0.0,3986.2867370517565
595,Islington,00AU,Barking and Dagenham,00AB,110,0,28,21,9,0,45,4,0,3,0,0,E09000019,E09000002,82000,18700,56000,16200,110,0.0,16890.848054546314
596,Islington,00AU,Barnet,00AC,1001,0,283,53,191,0,412,26,9,10,17,0,E09000019,E09000003,82000,18700,159000,18700,1001,0.0,10210.431184450214
597,Islington,00AU,Bexley,00AD,46,0,0,7,0,0,33,3,3,0,0,0,E09000019,E09000004,82000,18700,112000,18300,46,0.0,20062.76237127535
598,Islington,00AU,Brent,00AE,538,0,148,96,44,0,217,13,3,14,0,3,E09000019,E09000005,82000,18700,127000,16500,538,0.0,10984.082630763982
599,Islington,00AU,Bromley,00AF,46,0,10,20,3,0,13,0,0,0,0,0,E09000019,E09000006,82000,18700,164000,19100,46,0.0,22625.23683887288
600,Islington,00AU,Camden,00AG,10188,0,2776,374,2869,83,1355,140,141,762,1671,17,E09000019,E09000007,82000,18700,101000,19800,10188,0.0,3279.7870833797247
601,Islington,00AU,Croydon,00AH,157,0,30,64,21,0,27,0,3,0,12,0,E09000019,E09000008,82000,18700,153000,18300,157,0.0,21547.788997270774
602,Islington,00AU,Ealing,00AJ,479,0,204,34,35,0,172,9,8,14,3,0,E09000019,E09000009,82000,18700,141000,17500,479,0.0,15586.954944560617
603,Islington,00AU,Enfield,00AK,619,0,98,69,107,3,312,14,4,5,7,0,E09000019,E09000010,82000,18700,128000,17500,619,0.0,11513.933710481168
604,Islington,00AU,Greenwich,00AL,138,0,31,25,18,0,55,3,0,3,3,0,E09000019,E09000011,82000,18700,91000,18600,138,0.0,14152.83116267516
605,Islington,00AU,Hackney,00AM,2758,0,296,93,786,18,730,37,53,222,514,9,E09000019,E09000012,82000,18700,72000,17700,2758,0.0,3281.919987544809
606,Islington,00AU,Hammersmith and Fulham,00AN,1473,0,930,28,68,6,343,10,33,46,9,0,E09000019,E09000013,82000,18700,83000,21000,1473,0.0,9707.157797015083
607,Islington,00AU,Haringey,00AP,1869,0,279,49,609,8,669,34,23,59,139,0,E09000019,E09000014,82000,18700,90000,19100,1869,0.0,4663.95252764092
608,Islington,00AU,Harrow,00AQ,111,0,52,11,10,0,35,0,0,3,0,0,E09000019,E09000015,82000,18700,100000,19300,111,0.0,16924.981957449996
609,Islington,00AU,Havering,00AR,55,0,10,9,0,0,33,3,0,0,0,0,E09000019,E09000016,82000,18700,114000,17400,55,0.0,22988.948125846673
610,Islington,00AU,Hillingdon,00AS,265,0,82,22,9,0,129,3,7,7,3,3,E09000019,E09000017,82000,18700,113000,17600,265,0.0,23277.39705314093
611,Islington,00AU,Hounslow,00AT,334,0,128,41,15,3,128,4,4,5,3,3,E09000019,E09000018,82000,18700,101000,16500,334,0.0,19868.185234520388
612,Islington,00AU,Islington,00AU,26657,6711,2609,582,3981,432,3464,355,249,1025,7008,241,E09000019,E09000019,82000,18700,82000,18700,0,1e-10,0.0
613,Islington,00AU,Kensington and Chelsea,00AW,1672,0,1085,60,168,11,196,16,37,76,23,0,E09000019,E09000020,82000,18700,75000,25900,1672,0.0,7746.719617404793
